index_id	psalm_chapter	psalm_verse_start	psalm_verse_end	psalm_phrase_hebrew	psalm_phrase_normalized	phrase_length	prayer_id	liturgy_phrase_hebrew	liturgy_context	Actual prayer	source_text	sefaria_ref	nusach	prayer_type	occasion	service	section	prayer_name	first 200 char of hebrew text	sequence_order	liturgical_notes
9442	23	3	3	לְמַ֣עַן שְׁמֽוֹ׃	למען שמו	2	711	לְמַֽעַן שְׁמוֹ	טוֹבִים, קוֹנֵה הַכֹּל, וְזוֹכֵר חַסְדֵּי אָבוֹת, וּמֵבִיא גוֹאֵל לִבְנֵי בְנֵיהֶם לְמַֽעַן שְׁמוֹ בְּאַֽהֲבָה: בשבת תשובה אומרים: זָכְרֵנוּ לְחַיִּים, מֶלֶךְ חָפֵץ בַּחַיִּים, כָּתְבֵנוּ	Amidah	Siddur Edot HaMizrach	Siddur Edot HaMizrach, Shabbat Arvit, Magen Avot, Magen Avot	Edot_HaMizrach	Siddur	Shabbat	Maariv		Magen Avot	תפילת עמידה לליל שבת אֲ֭דֹנָי שְׂפָתַ֣י תִּפְתָּ֑ח וּ֝פִ֗י יַגִּ֥יד תְּהִלָּתֶֽךָ׃ בָּרוּךְ אַתָּה יְהֹוָה, אֱלֹהֵֽינוּ וֵֽאלֹהֵי אֲבוֹתֵֽינוּ, אֱלֹהֵי אַבְרָהָם, אֱלֹהֵי יִצְחָק, וֵֽאלֹהֵי יַעֲקֹב. ה	14	Metadata only (depth=3, key=Magen Avot)
9443	23	3	3	לְמַ֣עַן שְׁמֽוֹ׃	למען שמו	2	727	לְמַֽעַן שְׁמוֹ	טוֹבִים, קוֹנֵה הַכֹּל, וְזוֹכֵר חַסְדֵּי אָבוֹת, וּמֵבִיא גוֹאֵל לִבְנֵי בְנֵיהֶם לְמַֽעַן שְׁמוֹ בְּאַֽהֲבָה: בשבת תשובה אומרים: זָכְרֵנוּ לְחַיִּים, מֶלֶךְ חָפֵץ בַּחַיִּים, כָּתְבֵנוּ	Amidah	Siddur Edot HaMizrach	Siddur Edot HaMizrach, Shabbat Shacharit, Amidah, Amidah	Edot_HaMizrach	Siddur	Shabbat	Shacharit	Amidah	Amidah	עמידה לשחרית של שבת קודש אֲ֭דֹנָי שְׂפָתַ֣י תִּפְתָּ֑ח וּ֝פִ֗י יַגִּ֥יד תְּהִלָּתֶֽךָ׃ בָּרוּךְ אַתָּה יְהֹוָה, אֱלֹהֵֽינוּ וֵֽאלֹהֵי אֲבוֹתֵֽינוּ, אֱלֹהֵי אַבְרָהָם, אֱלֹהֵי יִצְחָק, וֵֽאלֹהֵי יַעֲקֹ	20	Metadata only (depth=3, key=Amidah)
9444	23	3	3	לְמַ֣עַן שְׁמֽוֹ׃	למען שמו	2	737	לְמַֽעַן שְׁמוֹ	וְזוֹכֵר חַסְדֵּי אָבוֹת, וּמֵבִיא גוֹאֵל לִבְנֵי בְנֵיהֶם לְמַֽעַן שְׁמוֹ בְּאַֽהֲבָה: בשבת תשובה אומרים: זָכְרֵנוּ לְחַיִּים, מֶלֶךְ חָפֵץ בַּחַיִּים, כָּתְבֵנוּ בְּסֵפֶר חַיִּים, לְמַעַנָךְ	Amidah	Siddur Edot HaMizrach	Siddur Edot HaMizrach, Shabbat Mussaf, Amida, Amida	Edot_HaMizrach	Siddur	Shabbat			Amida	מוסף של שבת לְשֵׁם יִחוּד קֻדְשָׁא בְּרִיךְ הוּא וּשְכִינְתֵּהּ בִּדְחִילוּ וּרְחִימוּ וּרְחִימוּ וּדְחִילוּ לְיַחֲדָא שֵׁם יוֹ”ד קֵ"א בְּוָא"ו קֵ"א בְּיִחוּדָא שְׁלִים, בְּשֵׁם כָּל־יִשְׂרָאֵל, הִנֵּ	18	Metadata only (depth=3, key=Amida)
9445	23	3	3	לְמַ֣עַן שְׁמֽוֹ׃	למען שמו	2	744	לְמַֽעַן שְׁמוֹ	טוֹבִים, קוֹנֵה הַכֹּל, וְזוֹכֵר חַסְדֵּי אָבוֹת, וּמֵבִיא גוֹאֵל לִבְנֵי בְנֵיהֶם לְמַֽעַן שְׁמוֹ בְּאַֽהֲבָה: בשבת תשובה אומרים: זָכְרֵנוּ לְחַיִּים, מֶלֶךְ חָפֵץ בַּחַיִּים, כָּתְבֵנוּ	Amidah	Siddur Edot HaMizrach	Siddur Edot HaMizrach, Shabbat Mincha, Amida, Amida	Edot_HaMizrach	Siddur	Shabbat	Mincha		Amida	עמידה למנחה של שבת אֲ֭דֹנָי שְׂפָתַ֣י תִּפְתָּ֑ח וּ֝פִ֗י יַגִּ֥יד תְּהִלָּתֶֽךָ׃ בָּרוּךְ אַתָּה יְהֹוָה, אֱלֹהֵֽינוּ וֵֽאלֹהֵי אֲבוֹתֵֽינוּ, אֱלֹהֵי אַבְרָהָם, אֱלֹהֵי יִצְחָק, וֵֽאלֹהֵי יַעֲקֹב. הָא	22	Metadata only (depth=3, key=Amida)
9446	23	3	3	לְמַ֣עַן שְׁמֽוֹ׃	למען שמו	2	756	לְמַֽעַן שְׁמוֹ	טוֹבִים, קוֹנֵה הַכֹּל, וְזוֹכֵר חַסְדֵּי אָבוֹת, וּמֵבִיא גוֹאֵל לִבְנֵי בְנֵיהֶם לְמַֽעַן שְׁמוֹ בְּאַֽהֲבָה: מֶֽלֶךְ עוֹזֵר וּמוֹשִֽׁיעַ וּמָגֵן: בָּרוּךְ אַתָּה יַהַוַהַ, מָגֵן אַבְרָהָם:	Amidah	Siddur Edot HaMizrach	Siddur Edot HaMizrach, Rosh Hodesh, Mussaf, Mussaf	Edot_HaMizrach	Siddur				Mussaf	מוסף של ראש חודש תפילת מוסף לשבת ראש חודש מובה במוסף של שבת אֲ֭דֹנָי שְׂפָתַ֣י תִּפְתָּ֑ח וּ֝פִ֗י יַגִּ֥יד תְּהִלָּתֶֽךָ׃ בָּרוּךְ אַתָּה יְהֹוָה, אֱלֹהֵֽינוּ וֵֽאלֹהֵי אֲבוֹתֵֽינוּ, אֱלֹהֵי אַבְרָהָם	27	Metadata only (depth=3, key=Mussaf)
9447	23	3	3	לְמַ֣עַן שְׁמֽוֹ׃	למען שמו	2	766	לְמַֽעַן שְׁמוֹ	טוֹבִים, קוֹנֵה הַכֹּל, וְזוֹכֵר חַסְדֵּי אָבוֹת, וּמֵבִיא גוֹאֵל לִבְנֵי בְנֵיהֶם לְמַֽעַן שְׁמוֹ בְּאַֽהֲבָה: מֶֽלֶךְ עוֹזֵר וּמוֹשִֽׁיעַ וּמָגֵן: בָּרוּךְ אַתָּה יַהַוַהַ, מָגֵן אַבְרָהָם:	Amidah	Siddur Edot HaMizrach	Siddur Edot HaMizrach, Prayers for Three Festivals, Amidah, Amidah	Edot_HaMizrach	Siddur	Festivals		Amidah	Amidah	עמידה לשחרית מנחה וערבית שלש רגלים אֲ֭דֹנָי שְׂפָתַ֣י תִּפְתָּ֑ח וּ֝פִ֗י יַגִּ֥יד תְּהִלָּתֶֽךָ׃ בָּרוּךְ אַתָּה יְהֹוָה, אֱלֹהֵֽינוּ וֵֽאלֹהֵי אֲבוֹתֵֽינוּ, אֱלֹהֵי אַבְרָהָם, אֱלֹהֵי יִצְחָק, וֵֽאלֹ	29	Metadata only (depth=3, key=Amidah)
9448	23	3	3	לְמַ֣עַן שְׁמֽוֹ׃	למען שמו	2	767	לְמַֽעַן שְׁמוֹ	טוֹבִים, קוֹנֵה הַכֹּל, וְזוֹכֵר חַסְדֵּי אָבוֹת, וּמֵבִיא גוֹאֵל לִבְנֵי בְנֵיהֶם לְמַֽעַן שְׁמוֹ בְּאַֽהֲבָה: מֶֽלֶךְ עוֹזֵר וּמוֹשִֽׁיעַ וּמָגֵן: בָּרוּךְ אַתָּה יַהַוַהַ, מָגֵן אַבְרָהָם:	Amidah	Siddur Edot HaMizrach	Siddur Edot HaMizrach, Prayers for Three Festivals, Mussaf, Mussaf	Edot_HaMizrach	Siddur	Festivals			Mussaf	מוסף לשלש רגלים אֲ֭דֹנָי שְׂפָתַ֣י תִּפְתָּ֑ח וּ֝פִ֗י יַגִּ֥יד תְּהִלָּתֶֽךָ׃ בָּרוּךְ אַתָּה יְהֹוָה, אֱלֹהֵֽינוּ וֵֽאלֹהֵי אֲבוֹתֵֽינוּ, אֱלֹהֵי אַבְרָהָם, אֱלֹהֵי יִצְחָק, וֵֽאלֹהֵי יַעֲקֹב. הָאֵל 	30	Metadata only (depth=3, key=Mussaf)
9449	23	3	3	לְמַ֣עַן שְׁמֽוֹ׃	למען שמו	2	802	לְמַֽעַן שְׁמוֹ	טוֹבִים וְקוֹנֵה הַכֹּל וְזוֹכֵר חַסְדֵי אָבוֹת וּמֵבִיא גוֹאֵל לִבְנֵי בְנֵיהֶם לְמַֽעַן שְׁמוֹ בְּאַהֲבָה: מֶֽלֶךְ עוֹזֵר וּמוֹשִֽׁיעַ וּמָגֵן: בָּרוּךְ אַתָּה יְהֹוָה מָגֵן אַבְרָהָם:	Amidah	Machzor Rosh Hashanah Ashkenaz	Machzor Rosh Hashanah Ashkenaz, Mincha for Erev Rosh Hashana, Amidah, Amidah	Ashkenaz	Machzor		Mincha	Amidah	Amidah	כִּי שֵׁם יְהֹוָה אֶקְרָא הָבוּ גֹֽדֶל לֵאלֹהֵֽינוּ: אֲדֹנָי, שְׂפָתַי תִּפְתָּח וּפִי יַגִּיד תְּהִלָּתֶֽךָ: אבות בָּרוּךְ אַתָּה יְהֹוָה אֱלֹהֵֽינוּ וֵאלֹהֵי אֲבוֹתֵֽינוּ אֱלֹהֵי אַבְרָהָם אֱלֹהֵי י	4	Metadata only (depth=3, key=Amidah)
9450	23	3	3	לְמַ֣עַן שְׁמֽוֹ׃	למען שמו	2	808	לְמַֽעַן שְׁמוֹ	טוֹבִים וְקוֹנֵה הַכֹּל וְזוֹכֵר חַסְדֵי אָבוֹת וּמֵבִיא גוֹאֵל לִבְנֵי בְנֵיהֶם לְמַֽעַן שְׁמוֹ בְּאַהֲבָה: זָכְרֵֽנוּ לְחַיִּים מֶֽלֶךְ חָפֵץ בַּחַיִּים וְכָתְבֵֽנוּ בְּסֵֽפֶר הַחַיִּים לְמַעַנְךָ	Amidah	Machzor Rosh Hashanah Ashkenaz	Machzor Rosh Hashanah Ashkenaz, Maariv, Amidah, Amidah	Ashkenaz	Machzor		Maariv	Amidah	Amidah	אֲדֹנָי, שְׂפָתַי תִּפְתָּח וּפִי יַגִּיד תְּהִלָּתֶֽךָ: אבות בָּרוּךְ אַתָּה יְהֹוָה אֱלֹהֵֽינוּ וֵאלֹהֵי אֲבוֹתֵֽינוּ אֱלֹהֵי אַבְרָהָם אֱלֹהֵי יִצְחָק וֵאלֹהֵי יַעֲקֹב הָאֵל הַגָּדוֹל הַגִּבּוֹר וְ	6	Metadata only (depth=3, key=Amidah)
9451	23	3	3	לְמַ֣עַן שְׁמֽוֹ׃	למען שמו	2	840	לְמַֽעַן שְׁמוֹ	טוֹבִים וְקוֹנֵה הַכֹּל וְזוֹכֵר חַסְדֵי אָבוֹת וּמֵבִיא גוֹאֵל לִבְנֵי בְנֵיהֶם לְמַֽעַן שְׁמוֹ בְּאַהֲבָה: זָכְרֵֽנוּ לְחַיִּים מֶֽלֶךְ חָפֵץ בַּחַיִּים וְכָתְבֵֽנוּ בְּסֵֽפֶר הַחַיִּים לְמַעַנְךָ	Amidah	Machzor Rosh Hashanah Ashkenaz	Machzor Rosh Hashanah Ashkenaz, The Morning Prayers, First Day of Rosh Hashana, Amidah, Amidah	Ashkenaz	Machzor		Shacharit	Amidah	Amidah	אֲדֹנָי, שְׂפָתַי תִּפְתָּח וּפִי יַגִּיד תְּהִלָּתֶֽךָ: אבות בָּרוּךְ אַתָּה יְהֹוָה אֱלֹהֵֽינוּ וֵאלֹהֵי אֲבוֹתֵֽינוּ אֱלֹהֵי אַבְרָהָם אֱלֹהֵי יִצְחָק וֵאלֹהֵי יַעֲקֹב הָאֵל הַגָּדוֹל הַגִּבּוֹר וְ	31	Metadata only (depth=4, key=Amidah)
9452	23	3	3	לְמַ֣עַן שְׁמֽוֹ׃	למען שמו	2	841	לְמַֽעַן שְׁמוֹ	טוֹבִים וְקוֹנֵה הַכֹּל וְזוֹכֵר חַסְדֵי אָבוֹת וּמֵבִיא גוֹאֵל לִבְנֵי בְנֵיהֶם לְמַֽעַן שְׁמוֹ בְּאַהֲבָה: מִסּוֹד חֲכָמִים וּנְבוֹנִים. וּמִלֶּֽמֶד דַּֽעַת מְבִינִים. אֶפְתְּחָה פִי בִּתְפִלָּה	Amidah	Machzor Rosh Hashanah Ashkenaz	Machzor Rosh Hashanah Ashkenaz, The Morning Prayers, First Day of Rosh Hashana, Reader's Repetition, Reader's Repetition	Ashkenaz	Machzor		Shacharit		Reader's Repetition	אֲדֹנָי, שְׂפָתַי תִּפְתָּח וּפִי יַגִּיד תְּהִלָּתֶֽךָ: אבות בָּרוּךְ אַתָּה יְהֹוָה אֱלֹהֵֽינוּ וֵאלֹהֵי אֲבוֹתֵֽינוּ אֱלֹהֵי אַבְרָהָם אֱלֹהֵי יִצְחָק וֵאלֹהֵי יַעֲקֹב הָאֵל הַגָּדוֹל הַגִּבּוֹר וְ	32	Metadata only (depth=4, key=Reader's Repetition)
9453	23	3	3	לְמַ֣עַן שְׁמֽוֹ׃	למען שמו	2	849	לְמַֽעַן שְׁמוֹ	טוֹבִים וְקוֹנֵה הַכֹּל וְזוֹכֵר חַסְדֵי אָבוֹת וּמֵבִיא גוֹאֵל לִבְנֵי בְנֵיהֶם לְמַֽעַן שְׁמוֹ בְּאַהֲבָה: זָכְרֵֽנוּ לְחַיִּים מֶֽלֶךְ חָפֵץ בַּחַיִּים וְכָתְבֵֽנוּ בְּסֵֽפֶר הַחַיִּים לְמַעַנְךָ	Amidah	Machzor Rosh Hashanah Ashkenaz	Machzor Rosh Hashanah Ashkenaz, The Morning Prayers, Second Day of Rosh Hashana, Amidah, Amidah	Ashkenaz	Machzor		Shacharit	Amidah	Amidah	אֲדֹנָי, שְׂפָתַי תִּפְתָּח וּפִי יַגִּיד תְּהִלָּתֶֽךָ: אבות בָּרוּךְ אַתָּה יְהֹוָה אֱלֹהֵֽינוּ וֵאלֹהֵי אֲבוֹתֵֽינוּ אֱלֹהֵי אַבְרָהָם אֱלֹהֵי יִצְחָק וֵאלֹהֵי יַעֲקֹב הָאֵל הַגָּדוֹל הַגִּבּוֹר וְ	31	Metadata only (depth=4, key=Amidah)
9454	23	3	3	לְמַ֣עַן שְׁמֽוֹ׃	למען שמו	2	850	לְמַֽעַן שְׁמוֹ	טוֹבִים וְקוֹנֵה הַכֹּל וְזוֹכֵר חַסְדֵי אָבוֹת וּמֵבִיא גוֹאֵל לִבְנֵי בְנֵיהֶם לְמַֽעַן שְׁמוֹ בְּאַהֲבָה: מִסּוֹד חֲכָמִים וּנְבוֹנִים. וּמִלֶּֽמֶד דַּֽעַת מְבִינִים. אֶפְתְּחָה פִי בִּתְפִלָּה	Amidah	Machzor Rosh Hashanah Ashkenaz	Machzor Rosh Hashanah Ashkenaz, The Morning Prayers, Second Day of Rosh Hashana, Reader's Repetition, Reader's Repetition	Ashkenaz	Machzor		Shacharit		Reader's Repetition	אֲדֹנָי, שְׂפָתַי תִּפְתָּח וּפִי יַגִּיד תְּהִלָּתֶֽךָ: אבות בָּרוּךְ אַתָּה יְהֹוָה אֱלֹהֵֽינוּ וֵאלֹהֵי אֲבוֹתֵֽינוּ אֱלֹהֵי אַבְרָהָם אֱלֹהֵי יִצְחָק וֵאלֹהֵי יַעֲקֹב הָאֵל הַגָּדוֹל הַגִּבּוֹר וְ	32	Metadata only (depth=4, key=Reader's Repetition)
